Composite Ticker,Composite Name,RIC,Bloomberg Symbol,FutVal,Exchange,52 Week Price Range,AveVol,NAV Date,NAV,AUM,Market Cap,Leverage,Inception Date,Expense Ratio,MorningStar Category,ETF Type,Total Holdings,YTD Return,1 month Return,1 Year Return,3 Year Return,Percent Above Constituent's 200 Day Moving Average,Advances,Declines,Advancing Volume,Declining Volume,New 1 Year Highs,New 1 Year Lows,FutVal,FutVal,FutVal,FutVal,FutVal,CUSIP,ISIN,Description
HDGE,AdvisorShares Active Bear ETF,HDGE.K,HDGE:US,,NYSEArca,6.34 - 6.52,1451741,04/14/2020,6.5421709, ,162114750,-1,2011-01-26,3.12,,US Equity ETF,63,,,,,na,na,na,na,na,na,na,,,,,,00768Y883,B3Q4YY8,The investment seeks capital appreciation through short sales of domestically aded equity securities.  The Sub-Advisor seeks to achieve the fund's investment objective by short selling a portfolio of liquid mid- and large-cap U.S. exchange-aded equity securities  ETFs  ETNs and other exchange-aded products. The fund invests at least 80% of its net assets  plus any borrowings for investment purposes  in short positions in equity securities. The Sub-Advisor implements a bottom-up  fundamental  research driven security selection process.
SCAP,AdvisorShares Cornerstone Small Cap ETF,SCAP.K,SCAP:US,,NYSEArca,27.08 - 27.08,630,04/14/2020, , ,3696452.46,1,2012-06-29,0.90,,US Equity ETF,242,,,,,na,na,na,na,na,na,na,,,,,,00768Y586,NULL,The investment seeks to provide total return through long-term capital appreciation and current income.  The fund seeks to achieve its investment objective by investing in a diversified group of U.S.-aded equity securities consisting of common and preferred stock  ADRs  and REITs. Under normal circumstances  it invests at least 80% of its net assets (plus any borrowings for investment purposes) in small cap securities. The fund's sub-advisor generally defines a small cap company as one having a market capitalization less than the market cap of the largest company in the Russell 2000 Index at the time of acquisition.
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,DWMC.O,DWMC:US,,NasdaqGM,17.07 - 17.12,751,04/14/2020,16.9399426, ,1711500, ,2018-07-10,1.25,,US Equity ETF,161,,,,,na,na,na,na,na,na,na,,,,,,00768Y537,BDD1BJ6,
DWSH,AdvisorShares Dorsey Wright Short ETF,DWSH.O,DWSH:US,,NasdaqGM,27.50 - 30.83,244354,04/14/2020,30.0636408, ,96750000, ,2018-07-10,3.07,,US Equity ETF,103,,,,,na,na,na,na,na,na,na,,,,,,00768Y529,BDD1BK7,
DBLV,AdvisorShares DoubleLine Value Eq ETF,DBLV.K,DBLV:US,,NYSEArca,60.94 - 61.34,3159,04/14/2020,60.4094597, ,42190050,1,2011-10-04,0.91,,US Equity ETF,50,,,,,na,na,na,na,na,na,na,,,,,,00768Y818,B72VD55,
DWEQ,AdvisorShares DWA Alpha Equal Wght ETF, ,DWEQ:US,,NasdaqGM,18.47 - 18.53,8861,04/14/2020, , , , ,2019-12-26,0.99,,US Equity ETF,2,,,,,na,na,na,na,na,na,na,,,,,,, ,
DWAW,AdvisorShares DWA FSM All Cap World ETF, ,DWAW:US,,NasdaqGM,23.23 - 23.45,7246,04/14/2020, , , , ,2019-12-26,1.14,,US Fund of Funds,4,,,,,na,na,na,na,na,na,na,,,,,,, ,
DWUS,AdvisorShares DWA FSM US Core ETF, ,DWUS:US,,NasdaqGM,22.82 - 23.11,8230,04/14/2020, , , , ,2019-12-26,1.14,,US Fund of Funds,4,,,,,na,na,na,na,na,na,na,,,,,,, ,
CWS,AdvisorShares Focused Equity ETF,CWS,CWS:US,,NYSEArca,32.50 - 33.39,4830,04/14/2020,32.1646427, ,18238827.5,1,2016-09-20,0.85,,US Equity ETF, 27,,,,, 0, 0, 0, 0, 0, 0, 0,,,,,,00768Y560,BD843B6,The investment seeks long-term capital appreciation.  The fund seeks to achieve its investment objective by investing primarily in a focused group of U.S. exchange listed equity securities  including common and preferred stock and American Depositary Receipts. It will invest at least 80% of its net assets (plus any borrowings for investment purposes) in equity securities. The Advisor may use a variety of methods for security selection and will seek to focus on firms that are fundamentally sound and have shown consistency in their financial results and high earnings quality.
FWDB,AdvisorShares Madrona Global Bond ETF,FWDB.K,FWDB:US,,NYSEArca,25.34 - 25.69,1777,04/14/2020,25.5197811,7655934,7626000,1,2011-06-20,1.31,,US Fund of Funds ETF,8,,,,,na,na,na,na,na,na,na,,,,,,00768Y834,B60ZD30,The investment seeks investment results that exceed the price and yield performance of its benchmark  the Bloomberg Barclays U.S. Aggregate Bond Index.  The Sub-Advisor selects a portfolio of fixed income (bond) exchange-aded funds ('Underlying ETFs') and other exchange-aded products  including  but not limited to  exchange-aded notes ('ETNs')  exchange-aded currency usts  and exchange-aded commodity pools. It invests in ETPs that provide exposure to at least 12 distinct global bond classes  that may include easury bonds  municipal bonds  and high-yield U.S. corporate bonds (sometimes referred to as 'junk bonds').
