NUM;ETF TYPE;EXCHANGE TRADED FUNDS NAME;ISIN;PRODUCT FAMILY;XETRA SYMBOL;REUTERS CODE;BLOOMBERG TICKER;MANAGEMENT FEE IN %;ONGOING CHARGES;USE OF PROFITS;REPLICATION METHOD;FUND CURRENCY;TRADING CURRENCY;MQV;MAX SPREAD;iNAV (REUTERS);iNAV (BLOOMBERG);BENCHMARK;HOMEPAGE ISSUER
1;Active ETF;PIMCO Euro Short Maturity Source UCITS ETF;IE00B5ZR2157;Invesco;PJS1;PJS1.DE;PJS1 GY;;0,35%;Distributing;Full Replication;EUR;EUR;100000 EUR;5,00%;PJS1iv.OQ;PJS1IN;;etf.invesco.com
2;Active ETF;Europe SectorTrend UCITS ETF;LU0861095221;Lyxor;ES5R;ES5R.DE;ES5R GY;;0,97%;Accumulating;Full Replication;EUR;EUR;5000 shares;1,00%;ESTUNAV=COBA;CNAVCSTU;;www.lyxoretf.de
3;Active ETF;PIMCO Covered Bond Source UCITS ETF;IE00BF8HV717;Invesco;COVR;COVR.DE;COVR GY;;0,43%;Distributing;Full Replication;EUR;EUR;100000 EUR;5,00%;INCOVRiv.OQ;INCOVR;;etf.invesco.com
4;Active ETF;PIMCO Low Duration Euro Corporate Bond Source UCITS ETF;IE00BP9F2J32;Invesco;LDCE;LDCE.DE;LDCE GY;;0,49%;Distributing;Full Replication;EUR;EUR;50000 EUR;5,00%;INLDCEiv.OQ;INLDCE;;etf.invesco.com
5;Active ETF;PIMCO Euro Short Maturity Source UCITS ETF EUR ACC;IE00BVZ6SP04;Invesco;PJSR;PJSR.DE;PJSR GY;;0,35%;Accumulating;Full Replication;EUR;EUR;100000 EUR;5,00%;INPJSRiv.OQ;INPJSR;;etf.invesco.com
6;Active ETF;Lyxor Portfolio Strategy UCITS ETF;DE000ETF7011;Lyxor;F701;F701.DE;F701 GY;;0,45%;Distributing;Full Replication;EUR;EUR;500 shares;2,00%;F701EURINAV=SOLA;F701EUIV;;www.lyxoretf.de
7;Active ETF;ComStage Alpha Dividende Plus UCITS ETF;DE000ETF7508;Lyxor;F750;F750.DE;F750 GY;;0,68%;Distributing;Full Replication;EUR;EUR;50000 EUR;5,00%;F750NAV=COBA;CNAVF750;;www.lyxoretf.de
8;Active ETF;Vanguard Global Liquidity Factor UCITS ETF;IE00BYYR0D71;Vanguard;VLIQ;VLIQ.DE;VLIQ GY;;0,22%;Accumulating;Full Replication;USD;EUR;5000 shares;5,00%;;IVLIQ;;www.de.vanguard
9;Active ETF;Vanguard Global Minimum Volatility UCITS ETF (USD Hedged);IE00BYYR0C64;Vanguard;VMVL;VMVL.DE;VMVL GY;;0,22%;Accumulating;Full Replication;USD;EUR;5000 shares;5,00%;;IVMVL;;www.de.vanguard
10;Active ETF;Vanguard Global Momentum Factor UCITS ETF;IE00BYYR0935;Vanguard;VMOM;VMOM.DE;VMOM GY;;0,22%;Accumulating;Full Replication;USD;EUR;5000 shares;5,00%;;IVMOM;;www.de.vanguard
11;Active ETF;Vanguard Global Value Factor UCITS ETF;IE00BYYR0B57;Vanguard;VGVL;VGVL.DE;VGVL GY;;0,22%;Accumulating;Full Replication;USD;EUR;5000 shares;5,00%;;IVVAL;;www.de.vanguard
12;Active ETF;ComStage Alpha Deutschland Dividende Plus UCITS ETF;DE000ETF7516;Lyxor;F751;F751.DE;F751 GY;;0,68%;Distributing;Full Replication;EUR;EUR;100000 EUR;5,00%;F751NAV=COBA;CNAV751;;www.lyxoretf.de
13;Active ETF;JPM Equity Long-Short UCITS ETF - USD (acc);IE00BF4G7308;J.P. Morgan ETF;JPQE;JPQE.DE;JPQE GY;;0,67%;Accumulating;Full Replication;USD;EUR;50000 EUR;5,00%;JELSEUiv.P;JELSEUIV;;www.jpmorganassetmanagement.ie
14;Active ETF;JPM Managed Futures UCITS ETF - USD (acc);IE00BF4G7290;J.P. Morgan ETF;JPGM;JPGM.DE;JPGM GY;;0,57%;Accumulating;Full Replication;USD;EUR;50000 EUR;5,00%;JPMFEUiv.P;JPMFEUIV;;www.jpmorganassetmanagement.ie
15;Active ETF;JPM USD Ultra-Short Income UCITS ETF;IE00BDFC6Q91;J.P. Morgan ETF;JPPS;JPPS.DE;JPPS GY;;0,18%;Distributing;Full Replication;USD;EUR;50000 EUR;5,00%;JPSTEUiv.P;JPSTEUIV;;www.jpmorganassetmanagement.ie
16;Active ETF;Lyxor Portfolio Strategy Defensive UCITS ETF;DE000ETF7029;Lyxor;F702;F702.DE;F702 GY;;0,41%;Distributing;Full Replication;EUR;EUR;50000 EUR;2,00%;F702EURINAV=SOLA;F702EUIV;;www.lyxoretf.de
17;Active ETF;Lyxor Portfolio Strategy Offensive UCITS ETF;DE000ETF7037;Lyxor;F703;F703.DE;F703 GY;;0,55%;Distributing;Full Replication;EUR;EUR;50000 EUR;2,00%;F703EURINAV=SOLA;F703EUIV;;www.lyxoretf.de
18;Active ETF;HSBC Economic Scale Worldwide Equity UCITS ETF;IE00BKZG9Y92;HSBC ETF;H41I;H41I.DE;H41I GY;;0,25%;Distributing;Full Replication;USD;EUR;50000 EUR;5,00%;HEWDEUiv.P;HEWDEUIV;;www.etf.hsbc.com
19;Active ETF;HSBC Multi-Factor Worldwide Equity UCITS ETF;IE00BKZGB098;HSBC ETF;H41J;H41J.DE;H41J GY;;0,25%;Distributing;Full Replication;USD;EUR;100000 EUR;5,00%;HWWDEUiv.P;HWWDEUIV;;www.etf.hsbc.com
20;Active ETF;Ossiam ESG Low Carbon Shiller Barclays CAPE US Sector UCITS ETF - 1A (EUR);IE00BF92LV92;Ossiam;5HEE;5HEE.DE;5HEE GY;;0,75%;Accumulating;Full Replication;EUR;EUR;100000 EUR;1,00%;5HEEINAV=SOLA;5HEEIV;;www.ossiam.com
21;Active ETF;Ossiam ESG Low Carbon Shiller Barclays CAPE US Sector UCITS ETF - 1A (USD);IE00BF92LR56;Ossiam;5HED;5HED.DE;5HED GY;;0,75%;Accumulating;Full Replication;USD;USD;100000 USD;1,00%;5HEDINAV=SOLA;5HEDIV;;www.ossiam.com
22;Active ETF;JPM EUR Ultra-Short Income UCITS ETF - EUR (acc);IE00BD9MMF62;J.P. Morgan ETF;JEST;JEST.DE;JEST GY;;0,08%;Accumulating;Full Replication;EUR;EUR;50000 EUR;5,00%;JESTEUiv.P;JESTEUIV;;www.jpmorganassetmanagement.ie
23;Active ETF;Franklin Liberty Euro Short Maturity UCITS ETF;IE00BFWXDY69;Franklin LibertyShares;FVSH;FVSH.DE;FVSH GY;;0,15%;Distributing;Full Replication;EUR;EUR;45000 EUR;5,00%;0X251NAV.DE;FLESIVEU;;www.franklintempleton.de/
24;Active ETF;Franklin Liberty USD Investment Grade Corporate Bond UCITS ETF;IE00BFWXDX52;Franklin LibertyShares;FVUI;FVUI.DE;FVUI GY;;0,35%;Distributing;Full Replication;USD;EUR;45000 EUR;5,00%;0X221NAV.DE;FLUCIVEU;;www.franklintempleton.de/
25;Active ETF;JPM Equity Long-Short UCITS ETF - EUR Hedged (acc);IE00BDDRF148;J.P. Morgan ETF;JLEE;JLEE.DE;JLEE GY;;0,67%;Accumulating;Full Replication;EUR;EUR;50000 EUR;5,00%;JLSEEUiv.P;JLSEEUIV;;www.jpmorganassetmanagement.ie
26;Active ETF;JPM Managed Futures UCITS ETF - EUR Hedged (acc);IE00BF2SYS28;J.P. Morgan ETF;JMFE;JMFE.DE;JMFE GY;;0,57%;Accumulating;Full Replication;USD;EUR;50000 EUR;5,00%;JMFEEUiv.P;JMFEEUIV;;www.jpmorganassetmanagement.ie
27;Active ETF;JPM Europe Research Enhanced Index Equity (ESG) UCITS ETF - EUR (acc);IE00BF4G7183;J.P. Morgan ETF;JREE;JREE.DE;JREE GY;;0,25%;Accumulating;Full Replication;EUR;EUR;50000 EUR;5,00%;JREEEUiv.P;JREEEUIV;;www.jpmorganassetmanagement.ie
28;Active ETF;JPM Global Research Enhanced Index Equity (ESG) UCITS ETF - USD (acc);IE00BF4G6Y48;J.P. Morgan ETF;JREG;JREG.DE;JREG GY;;0,25%;Accumulating;Full Replication;USD;EUR;50000 EUR;5,00%;JREGEUiv.P;JREGEUIV;;www.jpmorganassetmanagement.ie
29;Active ETF;JPM US Research Enhanced Index Equity (ESG) UCITS ETF - USD (acc);IE00BF4G7076;J.P. Morgan ETF;JREU;JREU.DE;JREU GY;;0,20%;Accumulating;Full Replication;USD;EUR;50000 EUR;5,00%;JREUEUiv.P;JREUEUIV;;www.jpmorganassetmanagement.ie
30;Active ETF;JPM EUR Corporate Bond 1-5 yr Research Enhanced Index UCITS ETF;IE00BF59RW70;J.P. Morgan ETF;JER5;JER5.DE;JER5 GY;;0,19%;Accumulating;Full Replication;EUR;EUR;50000 EUR;5,00%;JR15EUiv.P;JR15EUIV;;www.jpmorganassetmanagement.ie
